un champ de recherche,поле поиска
un code source,исходный код
une communauté de développeurs,сообщество разработчиков
une contrainte de temps,временное ограничение
une correction de bogues,исправление ошибок
une fonctionnalité,функция
une gestion de la mémoire,управление памятью
une interface en ligne de commande,командная строка
une interface graphique utilisateur,графический пользовательский интерфейс
une interface utilisateur,пользовательский интерфейс
un logiciel,программное обеспечение
un logiciel libre,свободное ПО
un logiciel open-source,ПО с открытым исходным кодом
un logiciel propriétaire,проприетарное ПО
un logiciel système,системное ПО
une mémoire virtuelle,виртуальная память
une mise à jour,обновление
un noyau,ядро
un ordonnancement,планирование
un pilote,драйвер
une protection contre les menaces,защита от угроз
une ressource logicielle,программный ресурс
une ressource matérielle,аппаратный ресурс
une sécurité des données,безопасность данных
un système d'exploitation,операционная система
un système monotâche,однозадачная система
un système multitâche,многозадачная система
un système mono-utilisateur,однопользовательская система
un système multi-utilisateur,многопользовательская система
un système coopératif,кооперативная система
un système préemptif,вытесняющая система
une tâche,задача
un utilisateur,пользователь
accéder au code source,получать доступ к исходному коду
apporter des corrections,вносить исправления
céder en fonctionnalité,уступать в функциональности
communiquer avec les périphériques,взаимодействовать с периферией
développer un logiciel,разрабатывать ПО
distribuer des tâches,распределять задачи
étudier, изучать
modifier, изменять
distribuer librement, свободно распространять
gérer les ressources, управлять ресурсами
gérer la mémoire, управлять памятью
interrompre une tâche,прерывать задачу
lancer un programme, запускать программу
démarrer un programme, запускать программу
libérer le processeur,освобождать процессор
permettre l'accès à plusieurs utilisateurs,разрешать доступ нескольким пользователям
