un boîtier,корпус
un câble,кабель
une caméra,камера
une webcam,веб-камера
un casque,наушники
un clavier,клавиатура
une connexion filaire,проводное соединение
une connexion sans fil,беспроводное соединение
un connecteur,разъём
un dispositif,устройство
un écran,экран
une enceinte,акустическая система
un haut-parleur,динамик
une image,изображение
une imprimante,принтер
une latence d'entrée,задержка ввода
un lecteur de code-barres,сканер штрих-кодов
une manette de jeu,игровой контроллер
un microphone,микрофон
un moniteur,монитор
un moniteur à cristaux liquides,жидкокристаллический монитор
un moniteur à diode électroluminescente,светодиодный монитор
un moniteur à diode électroluminescente organique,OLED-монитор
un moniteur à projection,проекционный монитор
un moniteur à tube cathodique,электронно-лучевой монитор
un moniteur de jeu,игровой монитор
un moniteur professionnel,профессиональный монитор
un moniteur quatre K,4K-монитор
un moniteur tactile,сенсорный монитор
un moniteur ultra-large,широкоформатный монитор
un pavé tactile,трекпад
un périphérique d'entrée,устройство ввода
un périphérique de sortie,устройство вывода
un pixel,пиксель
un pointeur,указатель
un port,порт
une précision des couleurs,точность цветопередачи
un projecteur,проектор
une résolution,разрешение
un rétroéclairage,подсветка
un scanner,сканер
un son,звук
une souris,мышь
un stylet,стилус
une surface tactile,сенсорная панель
une tablette graphique,графический планшет
une touche,клавиша
afficher une image,отображать изображение
déplacer avec la souris,перемещать мышью
sélectionner avec la souris,выбирать мышью
de,
dessiner,рисовать
prendre des notes,делать заметки
enregistrer un son,записывать звук
capturer une image,захватывать изображение
envoyer une commande,отправлять команду
être branché sur un port,быть подключённым к порту
glisser le doigt,проводить пальцем
importer un fichier,импортировать файл
enregistrer un fichier,сохранять файл
modifier un fichier,изменять файл
partager un fichier,делиться файлом
interagir avec une interface,взаимодействовать с интерфейсом
numériser un document,сканировать документ
scanner un document,сканировать документ
produire une copie papier,печатать бумажную копию
projeter sur un écran,проецировать на экран
saisir des données,вводить данные
saisir des informations,вводить информацию
se connecter à Internet,подключаться к интернету
visionner une vidéo,просматривать видео
