une bande magnétique,магнитная лента
un bus,шина
une capacité de stockage,ёмкость хранилища
une carte mémoire,карта памяти
une cellule de mémoire flash,ячейка флэш-памяти
un champ magnétique,магнитное поле
une copie de sauvegarde,резервная копия
une couche réfléchissante,отражающий слой
une défragmentation,дефрагментация
un démarrage,загрузка
un disque à état solide,твердотельный накопитель
un disque Blu-ray,Blu-ray диск
un disque compact,компакт-диск
un disque dur,жёсткий диск
un disque dur externe,внешний жёсткий диск
un disque dur interne,внутренний жёсткий диск
un disque numérique polyvalent,DVD-диск
un disque optique,оптический диск
un dossier,папка
un espace de stockage,место для хранения
un faisceau laser,лазерный луч
un fichier,файл
une fragmentation,фрагментация
un laser,лазер
une mémoire flash,флэш-память
une mémoire interne,внутренняя память
une polarité magnétique,магнитная полярность
une puce de mémoire,чип памяти
une sauvegarde,резервное копирование
un serveur distant,удалённый сервер
un stockage,хранение данных
un stockage cloud,облачное хранилище
un stockage en ligne,онлайн-хранилище
un stockage magnétique,магнитное хранение
un stockage optique,оптическое хранение
un support de stockage,носитель данных
une technologie de stockage flash,технология флэш-хранения
une tête de lecture,головка чтения
une tête d'écriture,головка записи
une vitesse de lecture,скорость чтения
une vitesse d'écriture,скорость записи
une zone magnétique,магнитная зона
accéder via Internet,получать доступ через интернет
brûler des trous,прожигать отверстия
changer la polarité,менять полярность
connecter via un câble,подключать через кабель
défragmenter régulièrement,регулярно дефрагментировать
détecter des informations,обнаруживать информацию
convertir des informations,преобразовывать информацию
enregistrer des données,сохранять данные
lire des données,читать данные
écrire des données,записывать данные
entraîner une diminution des performances,вызывать снижение производительности
être dispersé sur le disque,быть разбросанным по диску
être sensible aux chocs,быть чувствительным к ударам
être utilisé dans,использоваться в
être utilisé pour,использоваться для
éviter la perte de données,избегать потери данных
formater un disque,форматировать диск
partager des fichiers,делиться файлами
programmer électriquement,программировать электрически
ralentir le temps de démarrage,замедлять время загрузки
récupérer les données,восстанавливать данные
supprimer un fichier,удалять файл
transférer des fichiers,передавать файлы
