une architecture,архитектура
une base de données,база данных
un calcul intensif,интенсивные вычисления
une conception graphique,графический дизайн
une disponibilité,доступность
une fiabilité,надежность
une gestion de bases de données,управление базами данных
un jeu vidéo,видеоигра
une machine électronique,электронная машина
un mainframe,мейнфрейм
une navigation sur Internet,навигация в интернете
un ordinateur,компьютер
un ordinateur de bureau,настольный компьютер
un ordinateur portable,ноутбук
un portable,портативный компьютер
une performance,производительность
un processeur,процессор
une programmation,программирование
une puissance,мощность
un réseau,сеть
un serveur,сервер
un smartphone,смартфон
un superordinateur,суперкомпьютер
une tablette,планшет
une taille,размер
une tâche spécifique,конкретная задача
un traitement de texte,текстовый процессор
une visualisation de contenu multimédia,воспроизведение мультимедийного контента
accéder à Internet,подключаться к интернету
accélérer le traitement,ускорять обработку
allumer l'écran, включать экран
éteindre l'écran, выключать экран
l'unité centrale, системный блок
améliorer les performances,улучшать производительность
brancher un appareil,подключать устройство
débrancher un appareil,отключать устройство
cliquer (sur un élément),нажимать (на элемент)
connecter un périphérique,подключать периферийное устройство
déconnecter un périphérique,отключать периферийное устройство
déplacer le pointeur,перемещать указатель
déplacer le curseur,перемещать курсор
effectuer des opérations,выполнять операции
effectuer des calculs,выполнять вычисления
être équipé de,быть оснащенным
gérer une base de données,управлять базой данных
installer un programme,устанавливать программу
lire un fichier,читать файл
mettre en route l'ordinateur,запускать компьютер
naviguer sur Internet,серфить в интернете
ouvrir une session, открывать сессию
fermer une session, закрывать сессию
ouvrir un programme, открывать программу
fermer un programme, закрывать программу
se déplacer souvent,часто перемещаться
traiter des données, обрабатывать данные
stocker des données, хранить данные
travailler simultanément,работать одновременно
utiliser sans clavier,использовать без клавиатуры
