une alimentation électrique,электропитание
un bloc d'alimentation,блок питания
un boîtier,корпус
une capacité,ёмкость
une carte d'extension,плата расширения
une carte graphique,видеокарта
une carte mère,материнская плата
une carte son,звуковая карта
une carte vidéo,видеокарта
un composant,компонент
un disque dur,жёсткий диск
une fente d'extension,слот расширения
une fréquence,частота
un gigahertz,гигагерц
un gigaoctet,гигабайт
un matériel informatique,компьютерное оборудование
une mémoire morte,постоянная память
une mémoire non volatile,энергонезависимая память
une mémoire temporaire,временная память
une mémoire vive,оперативная память
une mémoire volatile,энергозависимая память
un octet,байт
une performance,производительность
une pièce détachée,запасная часть
un processeur,процессор
un programme,программа
un refroidissement,охлаждение
un signal numérique,цифровой сигнал
un signal visuel,визуальный сигнал
une surchauffe,перегрев
un système de refroidissement,система охлаждения
une taille,размер
un téraoctet,терабайт
une tour,системный блок
une unité centrale,центральный блок
un ventilateur,вентилятор
une vitesse d'horloge,тактовая частота
changer un système,менять систему
renforcer un système,усиливать систему
entraîner une surchauffe,вызывать перегрев
exécuter une instruction,выполнять инструкцию
fournir de l'énergie,подавать энергию
convertir de l'énergie,преобразовывать энергию
gérer l'affichage,управлять отображением
gérer le son,управлять звуком
générer de la chaleur,выделять тепло
évacuer de la chaleur,отводить тепло
lancer un programme,запускать программу
maintenir la température,поддерживать температуру
refroidir la température,охлаждать температуру
mesurer en gigahertz,измерять в гигагерцах
produire un son,воспроизводить звук
enregistrer un son,записывать звук
numériser un son,оцифровывать звук
ralentir (le système),замедлять
planter (le système),вызывать сбой (системы)
relier les composants ensemble,соединять компоненты между собой
s'exprimer en gigaoctets,измеряться в гигабайтах
