une architecture du processeur,архитектура процессора
un bit,бит
un circuit électronique,электронная схема
une consommation d'énergie,потребление энергии
un cœur,ядро
un cycle d'instructions,цикл инструкций
un facteur d'influence,фактор влияния
une fréquence d'horloge,тактовая частота
un gigahertz,гигагерц
un hertz,герц
une horloge interne,внутренние часы
une instruction,инструкция
un jeu d'instructions,набор инструкций
une mémoire cache,кэш-память
un nombre binaire,двоичное число
une opération mathématique et logique,математическая и логическая операция
un processeur monocœur,одноядерный процессор
un processeur multicœur,многоядерный процессор
une puce,чип
un registre d'instruction,регистр инструкций
un signal électrique,электрический сигнал
une taille du cache,размер кэша
une tension,напряжение
un transistor,транзистор
une unité arithmétique et logique,арифметико-логическое устройство
une unité centrale de traitement,центральный процессор
une vitesse d'horloge,тактовая частота
améliorer les performances,улучшать производительность
augmenter le nombre de transistors,увеличивать количество транзисторов
augmenter la fréquence,увеличивать частоту
effectuer des tâches en parallèle,выполнять задачи параллельно
être alimenté par une horloge,управляться тактовым генератором
exécuter une instruction,выполнять инструкцию
exécuter un programme,выполнять программу
mesurer la fréquence,измерять частоту
overclocker un processeur,разгонять процессор
récupérer (les étapes),извлекать (этапы)
décoder (les étapes),декодировать (этапы)
exécuter (les étapes),выполнять (этапы)
stocker (les étapes),сохранять (этапы)
réguler par une tension,регулировать напряжением
réduire la consommation,снижать потребление
stocker une instruction,сохранять инструкцию
stocker des données,сохранять данные
suivre un cycle,следовать циклу
synchroniser les opérations,синхронизировать операции
traiter de grandes quantités de données,обрабатывать большие объёмы данных
